month,traffic,precipitation,daylight,temperature
1 ,133570 ,2.983871 ,5.870968 ,5.80 
2 ,144800 ,2.214286 ,5.960714 ,5.70 
3 ,156676 ,3.032258 ,6.264516 ,10.30 
4 ,146623 ,4.300000 ,4.983333 ,14.50 
5 ,149012 ,2.838710 ,7.761290 ,21.10 
6 ,146946 ,6.516667 ,4.576667 ,22.10 
7 ,154218 ,7.564516 ,5.864516 ,26.20 
8 ,158044 ,3.338710 ,4.438710 ,26.70 
9 ,154407 ,16.783333 ,3.776667 ,22.60 
10 ,155503 ,1.838710 ,5.848387 ,18.40 
11 ,149399 ,4.650000 ,4.003333 ,13.90 
12 ,148717 ,2.661290 ,5.225806 ,9.30 
