month,traffic,precipitation,daylight,temperature
1 ,133570.000000 ,2.983871 ,5.870968 ,5.800000 
2 ,144800.000000 ,2.214286 ,5.960714 ,5.700000 
3 ,156676.000000 ,3.032258 ,6.264516 ,10.300000 
4 ,146623.000000 ,4.300000 ,4.983333 ,14.500000 
5 ,149012.000000 ,2.838710 ,7.761290 ,21.100000 
6 ,146946.000000 ,6.516667 ,4.576667 ,22.100000 
7 ,154218.000000 ,7.564516 ,5.864516 ,26.200000 
8 ,158044.000000 ,3.338710 ,4.438710 ,26.700000 
9 ,154407.000000 ,16.783333 ,3.776667 ,22.600000 
10 ,155503.000000 ,1.838710 ,5.848387 ,18.400000 
11 ,149399.000000 ,4.650000 ,4.003333 ,13.900000 
12 ,148717.000000 ,2.661290 ,5.225806 ,9.300000 
